antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len
frozenset({'Blue Pen'}),frozenset({'Backpack'}),0.09202860472023579,0.09413054901871187,0.0004112499714409742,0.004468718967229394,0.04747363118365615,1.0,-0.00825145311630084,0.9099356978934237,-0.956706152979848,0.0022140221402214026,-0.09897875455934164,0.004418825503032173,1,1
frozenset({'Backpack'}),frozenset({'Blue Pen'}),0.09413054901871187,0.09202860472023579,0.0004112499714409742,0.004368932038834952,0.047473631183656155,1.0,-0.00825145311630084,0.9119556676140002,-0.9568020482773648,0.0022140221402214026,-0.09654453117919108,0.004418825503032173,1,1
frozenset({'Desk Lamp'}),frozenset({'Backpack'}),0.09365075738536408,0.09413054901871187,0.0003198610888985355,0.0034154671871188093,0.036284364881796885,1.0,-0.00849553611980397,0.9089740219271236,-0.9670015627586451,0.0017062766605728215,-0.1001414516554515,0.003406762719772997,1,1
frozenset({'Backpack'}),frozenset({'Desk Lamp'}),0.09413054901871187,0.09365075738536408,0.0003198610888985355,0.003398058252427185,0.03628436488179689,1.0,-0.00849553611980397,0.9094395712548222,-0.9670184549203218,0.0017062766605728215,-0.09957828052305306,0.003406762719772997,1,1
frozenset({'Headphones'}),frozenset({'Backpack'}),0.09257693801549041,0.09413054901871187,0.00045694441271219356,0.004935834155972359,0.05243604979921218,1.0,-0.008257373589157178,0.9103628510357588,-0.9521862133724992,0.002453385672227674,-0.09846310057825533,0.0048951015440055964,1,1
frozenset({'Backpack'}),frozenset({'Headphones'}),0.09413054901871187,0.09257693801549041,0.00045694441271219356,0.0048543689320388345,0.05243604979921218,1.0,-0.008257373589157178,0.9118495159454096,-0.9522641682077363,0.002453385672227674,-0.09667218385612186,0.0048951015440055964,1,1
frozenset({'Notebook'}),frozenset({'Backpack'}),0.0915945075281592,0.09413054901871187,0.0002970138682629258,0.0032427039161885755,0.03444900672515965,1.0,-0.008324827412461239,0.9088164737197157,-0.9686072783765141,0.0016017742730409068,-0.10033216707337744,0.003199021861006909,1,1
frozenset({'Backpack'}),frozenset({'Notebook'}),0.09413054901871187,0.0915945075281592,0.0002970138682629258,0.0031553398058252425,0.03444900672515965,1.0,-0.008324827412461239,0.9112808933489126,-0.9686921751848939,0.0016017742730409068,-0.09735648722431678,0.003199021861006909,1,1
frozenset({'Office Chair'}),frozenset({'Backpack'}),0.09259978523612603,0.09413054901871187,0.00038840275080536453,0.004194423883543055,0.044559645378348535,1.0,-0.008328065872485987,0.9096850557054412,-0.9593990399807953,0.0020843550760176557,-0.09928155214611223,0.0041603187378880324,1,1
frozenset({'Backpack'}),frozenset({'Office Chair'}),0.09413054901871187,0.09259978523612603,0.00038840275080536453,0.00412621359223301,0.044559645378348535,1.0,-0.008328065872485987,0.9111598549420329,-0.9594647565117822,0.0020843550760176557,-0.09750225997788178,0.0041603187378880324,1,1
frozenset({'T-shirt'}),frozenset({'Backpack'}),0.09241700747104115,0.09413054901871187,0.00027416664762731615,0.002966625463535229,0.03151607522171685,1.0,-0.008425097004288184,0.9085648225190455,-0.9713129917445295,0.001471850852446952,-0.10063693334224133,0.002939623411379265,1,1
